id,title,organization,sector,location,skills,duration,stipend,type,mode
1,Tour Planning Intern,PolicyWorks India,Tourism,Bhopal,Content Writing|Digital Marketing|Excel|Java|JavaScript,2 months,11000,Govt,Offline
2,Governance Analyst Intern,AgriNova Collective,Public Policy,Kochi,Content Writing|Excel|Figma|HTML|Research|SQL,6 months,12000,Govt,Online
3,Graphic Design Intern,GreenGrowth Initiatives,Design,Ahmedabad,AutoCAD|C|Canva|Figma|Illustrator|Networking|Python|Research,2 months,12000,NGO,Hybrid
4,Governance Analyst Intern,GreenGrowth Initiatives,Public Policy,Kochi,Canva|Content Writing|Excel|Illustrator|Research|SPSS|SQL|Tally|UI/UX,1 month,13000,Govt,Offline
5,Data Analyst Intern,DataPulse Analytics,Data Analytics,Remote,Excel|Power BI|R|SEO|Tally,6 months,7000,Govt,Online
6,Business Intelligence Intern,GreenGrowth Initiatives,Data Analytics,Bengaluru,Data Entry|Digital Marketing|Excel|HTML|Networking|QGIS|R,6 months,3000,Govt,Hybrid
7,Tour Planning Intern,GreenGrowth Initiatives,Tourism,Remote,Content Writing|Digital Marketing|GST|React|SEO|SolidWorks,6 months,8500,Govt,Online
8,Legal Research Intern,Innovate Labs,Law,Nagpur,Content Writing|Java|JavaScript|Networking|Research|UI/UX,1 month,12500,Private,Hybrid
9,Solar Projects Intern,UrbanRise Solutions,Renewable Energy,Hyderabad,AutoCAD|HTML|Linux|SEO,3 months,12500,Private,Hybrid
10,Academic Research Intern,DataPulse Analytics,Education,Chennai,Content Writing|Research|SolidWorks|UI/UX,6 months,7500,Private,Offline
11,Data Analyst Intern,SecureNet Systems,Data Analytics,Ahmedabad,C|Excel|HTML|Illustrator|Python|R|SPSS,6 months,6500,PSU,Online
12,Field Operations Intern,Insight Finance Group,Agriculture,Indore,ArcGIS|Data Entry|HTML|Power BI|React|Research|SPSS|Typing,1 month,4500,Private,Hybrid
13,Civic Tech Intern,MapCraft GIS,E-Governance,Surat,C|CSS|Data Entry|Excel|GST|React,6 months,3500,Startup,Hybrid
14,Operations Intern,Spectrum Media House,Logistics,Jaipur,ArcGIS|Digital Marketing|Excel|Power BI|QGIS|R|SQL|Tally,3 months,13500,Startup,Online
15,Graphic Design Intern,NextGen Logistics,Design,Lucknow,Content Writing|Illustrator|UI/UX,1 month,12500,NGO,Hybrid
16,Cyber Risk Intern,Spectrum Media House,Cybersecurity,Mysuru,AutoCAD|Data Entry|Linux|Networking|Python|R|Tableau,2 months,10500,NGO,Offline
17,Academic Research Intern,Skyline Innovations,Education,Kolkata,Content Writing|Excel|Photoshop|QGIS|React|Research|Typing,2 months,11500,Private,Offline
